id,sentimen,tweet,emoticon_score,ortografi,exclamation,lexicon_score,lexicon_pos_score,lexicon_neg_score,jj,neg
6001,0,tertawa setuja tahlah pusing tidak pulak ahli contek mencontek,0,0.0,0,-1,2,3,0,1
6002,1,semangat perjuangan selesai sbmptn test lainya semangat ã â â ã â â ½ ã å â ã â â½ ã â â,0,0.09090909090909091,1,4,4,0,0,0
6003,1,fakta tim ngalahin barca semifinal juara ucl contohnya kaya inter chelsea hm,0,0.0,0,2,2,0,2,0
6004,1,motivator fenomenal ã â â kak ranga tertawa,0,0.0,0,2,2,0,1,0
6005,1,ngopi kabar paripurna arahnya vanila cafe,0,0.0,0,0,0,0,0,0
6006,1,rtuh tertawa budi gila sms mila pakai kata-kata sayang tidak tahunya p p,0,0.0,0,1,2,1,0,1
6007,1,diner pacar orang spesial sambal s warung,0,0.0,0,1,1,0,3,0
6008,1,senang guguk jenis inih jaga rumah keren sangat with sika pic ã â â,0,0.0,0,3,3,0,0,0
6009,1,cieh senang coy tuhkankan wak ã â â,0,0.0,0,1,1,0,0,0
6010,0,tidak dipakai kali au tidak mengerti,0,0.0,0,0,0,0,0,2
6011,0,hpku sepi gakayak hpnya eje,0,0.0,0,-1,0,1,0,0
6012,0,rajin marahin guru tlat rajin rutin,0,0.0,0,2,2,0,0,0
6013,0,gabut hangat dbwah with ruang hrd mpg media ã â â,0,0.0,0,0,1,1,0,0
6014,1,menang menang alenya pit novita tidak menang kebangetan,0,0.0,0,1,3,2,0,1
6015,0,orang bercakap cakap bahasa asing angkutan ngelirik sinis hati sombong susahmaju,0,0.0,0,-1,2,3,1,0
6016,1,berhubung malam nispu nanad map iya mapin salah,1,0.0,0,-1,0,1,1,0
6017,0,gelisah,0,0.0,0,-1,0,1,0,0
6018,1,nyaman pakai ubuntul adroino p pakai ubuntu,0,0.0,0,1,1,0,0,0
6019,0,libur libur horay horay pagi-pagi sakit perut gusi bengkak nya sih,0,0.0,0,0,2,2,1,0
6020,0,ngebet mi iya habis kecelakan motor kakak luka dikakinya,-1,0.0,0,-1,0,1,1,0
6021,0,nonton chibi tidak yak sih ã � � â¹,0,0.0,0,0,0,0,0,2
6022,0,tidak maksudnya hasil ulanganya pas rata-ratainya gasalah,0,0.0,0,1,1,0,1,1
6023,1,tertawa ae juwitart a panda remajaindonesia lucu a panda b koala,0,0.0,0,2,2,0,0,0
6024,1,bersatu kuat pic ã â â,0,0.0,1,1,1,0,1,0
6025,1,tidak demo kenaikan bm he,0,0.0,0,1,1,0,0,1
6026,0,dimana ns toilet moi rt iya allah kasihan bayi dibuang pipa toilet talipusernya orang tua,2,0.0,0,-2,1,3,1,0
6027,0,gendut fisika mihpit,-1,0.0,0,-1,0,1,1,0
6028,1,ndah avatar cantik,0,0.0,0,1,1,0,1,0
6029,1,tertawa iya belajar iya oh iya iya tidak rumah kakak du,0,0.0,0,1,2,1,0,1
6030,1,iya disiplin kebiasan kaku membosankan tambahkan kreatifitas segar menyenangkan,0,0.0,0,1,2,1,1,0
6031,1,enaknya yv sarapan rawon setan,0,0.0,0,-1,0,1,0,0
6032,0,meting nyari-nyari pulpen asu pulpen hilang molo simpen dimeja kaya sekolah pulpen hilang molo,0,0.0,0,-2,0,2,1,0
6033,0,asli bersaman,0,0.0,0,1,1,0,1,0
6034,0,sabtu cepat sih ã å â ã â â½ _ ã å â ã â â½,0,0.0,0,1,1,0,1,0
6035,0,aries kesehatan dirasa badan fit tidak memaksakan,0,0.0,0,1,1,0,0,1
6036,0,pindah orang orang bumi jahat jahat,-1,0.0,0,-2,0,2,0,0
6037,1,god morning auntie uncle ã â â ½ ã å � � pesona amsterdam i 4 81 kota wisata pic ã â â,0,0.0,0,1,1,0,0,0
6038,0,efeknya parah males sukatidurmulu gabisamikir nontontvmulu mainanmulu twiteran pesbukan,0,0.0,0,-2,0,2,1,0
6039,1,kenyang pulang beli _ z,-1,0.0,0,1,1,0,0,0
6040,0,oke terserah puput situ salah lihat kali,0,0.0,0,-1,1,2,1,0
6041,1,amasa iya deh hati alhamdulilah iya,0,0.0,0,2,2,0,0,0
6042,1,iya jujur,0,0.0,0,1,1,0,1,0
6043,0,stasiun depok mengeluh _ ã â â,-2,0.0,0,-1,0,1,1,0
6044,1,cakap kece nyukain sayang pacar tertawa heh,0,0.0,0,4,4,0,1,0
6045,0,tatap-tatapan p,0,0.0,0,0,0,0,0,0
6046,1,via android seputarandroid acer liquid znya telepon seluler android layar mungil,0,0.0,0,1,1,0,0,0
6047,0,kaya mah jangan kasih sih untung nya nyilet nyilet tangan uang perak sakit,0,0.0,0,-1,2,3,1,1
6048,0,hai calon kelas merasakan semoga pas kelas praktik kimia pertimbangan kelulusan iya ã â â½ ã â â ½ ã â â,0,0.0,0,2,2,0,0,0
6049,1,tidak sabar nonton gelora karno cfctour asia,0,0.0,0,-1,0,1,0,1
6050,1,hua emotxtawa mey lucu lho sumpah rumah kunci kamar mandi teriak-teriak,1,0.0,1,1,1,0,0,0
6051,0,ngehasut nadia biar pindah lampung mah enak nya liburan sekolah,0,0.0,0,0,1,1,1,0
6052,1,sbrpa kesalahan dimasa ukuran sbrpa perjuangamu memperbaiki kehidupanmu,0,0.0,0,-1,0,1,0,0
6053,0,tanda tanda tamu tidak diundang bermunculan sakit ã â â ½ ã â â ¼ ã â â½ ã â â½,0,0.0,0,-1,0,1,1,1
6054,0,anak-anak cemara sewot bilang sombong ã â â½,0,0.0,0,-1,0,1,0,0
6055,0,pida jelous pida si emotxtawa h rtrt heh pacaran jangan tl iri,1,0.0,2,-2,0,2,0,0
6056,0,emotxtawa sakit perut ndah males kemana _ tungu mae tertawa nyamper _,-1,0.0,0,-1,1,2,0,0
6057,0,tekat ku abang nama ku sulit butuh pengorbanan,2,0.0,0,-1,0,1,1,0
6058,0,tidak peka cewek bilang gakpapa apanya dicuekin iya parah ngambeknya,0,0.0,0,-2,0,2,3,1
6059,1,hm marcel chandrawinata cakap tertawa,0,0.0,0,2,2,0,0,0
6060,0,tidak gerakan tari hosa e,0,0.0,0,0,0,0,0,1
6061,0,cibinong garut bandung jekardah cibinong iya lumayan pegel pegel az,0,0.0,0,-2,0,2,0,0
6062,0,sombong dm gadibales,-1,0.0,0,-1,0,1,0,0
6063,0,senin kamis kali min _ kasihan besok puasa senin jumat tertawa besok kenyang,-2,0.0,0,1,2,1,0,0
6064,1,coy coy show imah seru x_x emotxtawa xd,-1,0.0,0,1,1,0,0,0
6065,1,iya semangat tufl iya habis tufl siangnya karokean tertawa,0,0.0,1,2,2,0,0,0
6066,0,tidak kuat diam lamalama,0,0.0,0,-1,1,2,2,1
6067,0,hidup diasingkan hidup penuh kemunafikan,0,0.0,0,-1,2,3,1,0
6068,0,jenuh lelah bosan,0,0.0,0,-3,0,3,0,0
6069,1,ã â â ½ ã å â ã â â½ ã â â½ ã â â ½ ã â â ã â â½ iya sabar sabar iya berhenti yakali ujan tidak,0,0.0,0,2,2,0,0,1
6070,0,dengar suara jelek nyanyi ficering ceritanya sih comate,0,0.0,0,-1,0,1,0,0
6071,0,ramai gila tanah abang ã â â,0,0.0,0,0,1,1,1,0
6072,0,diciptain tidak lucu kali iya ã å â ã â â½ _ ã å â ã â â½ yaudalah syukurin,0,0.0,0,-2,0,2,0,1
6073,0,tidak kakak dew kerjain wi ms ani tidak yunho,-2,0.0,0,0,0,0,1,2
6074,0,acik trio jmblo pesan jan kesedihan iah,0,0.0,0,-1,0,1,1,0
6075,0,sok pengusaha ge tidak bantu cari costumer marah mangkanya jangan ngabisin uang orangtua,0,0.0,0,-3,0,3,1,1
6076,0,rumah kaya gudang,0,0.0,0,0,0,0,1,0
6077,0,maaf iya libur mingu sih pulang kerja tidak macet ã å â ã â â½ _ ã å â ã â â½,0,0.0,0,3,3,0,1,1
6078,0,lho tidak jam sibuk mengisi tes tertulis semarang dilewatkan ã â â½,-2,0.0,0,0,1,1,0,1
