id,sentimen,tweet,emoticon_score,ortografi,exclamation,lexicon_score,jj,neg,lexicon_pos_score,lexicon_neg_score
1,1,oks kak semangat iya,0,0.0,0,2,0,0,2,0
2,0,kaya orang bodoh bodoh sangat,0,0.0,0,-2,0,0,0,2
3,1,umum lulus 100 sujud syukur langsung ambil bunga hampir langsung peluk cium air mata tidak kuasa bendung mom this is my birthday present for,0,0.0,0,1,1,1,2,1
4,0,reformasi demokrasi negeri nyata tidak aku lebih pimpin tidak ambil contoh nya generasi muda tolak,0,0.0,0,2,1,2,4,2
5,0,macet macet perut kosong mampir soto betawi gki pamulang pic ,0,0.0,0,-2,0,0,0,2
6,0,nyata ganggu telinga malam mulut juru bicara perintah ali mochtar ngabalin perintah representasi tuhan muka bumi dekaden nalar demokrasi pandang biar kuasa istana tua,0,0.0,0,-1,1,0,1,2
7,1,mas move on poto poto cerita nyobain face filter hengpong syanggih diajeng astri eka pertiwi gada orang gausah cari,0,0.0,0,0,0,0,0,0
8,1,balik cemburu selip kasih sayang cemburu hubung kadar wajar,1,0.0,0,1,1,0,3,2
9,1,sayang beneran hadap cowok kaya ganteng pinter serba tetep tidak pindah,0,0.0,0,3,1,1,3,0
10,1,pagi mas nya duhjadi gaenak ucap selamat pagi netijen twitter tertawa bicara bicara jauh alias darimana kota tinggal tertawa,0,0.0,0,3,1,0,3,0
11,0,efek pintu tol slip arah semanggi tutup macet parah polisi ngatur jagain jalur busway,0,0.0,0,-2,1,0,0,2
12,0,shyok iya rw yalah kakak    kali  rw tertawa ganti klam,-1,0.0,0,1,0,1,1,0
13,1,nonton tidak tiket hana hem malam sonichi bokuno taiyo nonton yu penasaran,1,0.0,0,1,0,1,1,0
14,1,sebenernya tidak suka bahagia hati bikin pasang bahagia romantis,0,0.0,0,2,1,1,4,2
15,1,bikin cake ulang hasil bagus yeye,1,0.0,0,1,1,0,1,0
16,0,pusing kana sirah na oge,0,0.0,0,-1,0,0,0,1
17,1,orang tua iya anak ada sayang sangat juang mati anak walopun lelah pulang kerja mas pulang nanyain kembang anak,0,0.0,0,1,2,0,3,2
18,1,romantis manis manis dilakuin orang tg sayang neng bunga bunga tertawa ribu kupu kupu terbang perut ngeromantisin,0,0.05128205128205128,0,6,2,0,6,0
19,0,lelah,0,0.0,0,-1,0,0,0,1
20,0,iya jelasin sayang sahabat tidak percaya ngira cinta hei plis highlight sayang tidak melulu cinta cinta,0,0.0,0,3,0,2,5,2
21,1,mama takut putri manis jatuh luka sadar papa biar tatap jaga kayuh sepeda seksama putri kecil,0,0.058823529411764705,0,2,1,0,2,0
22,1,oalah iyanih adik promosi olahraga main skiping kak murah,0,0.0,0,1,1,0,1,0
23,0,tidak paksa tidak busway gembel bleketek eek,0,0.0,1,0,0,2,0,0
24,0,kelas emerson laku kerna kebencianya lupa diketawain junjung son son gagal maning,0,0.0,0,-1,0,0,0,1
25,0,ah sedih strong sel adit,0,0.0,0,0,0,0,1,1
26,1,cowok ganteng pergi solat jum at selamat solat jum at my someone,0,0.0,0,2,0,0,2,0
27,0,lumayan lho cuci,0,0.0,0,0,1,0,0,0
28,1,pakai pasar bayangkara pasar senggol pilih 1 pakai 2 3 4 syukur,0,0.0,0,1,0,0,1,0
29,1,gara gara ngopi dengar lagu lagu jaman jaman sd kaya tangga ello andien audy bikin playlist lagu angkat 2004 2005,0,0.03225806451612903,0,0,1,0,0,0
30,1,katherine sofia ngrasa lelah sangat kerja minimal minggu sangat ngasi reward me time manja,0,0.0,0,-1,1,0,0,1
